Ignore,CodeSet,Key,Value
AUCodeSets,0211 Program Availability,0231,During school,
,,0234,Weekend,
,,0235,Before school,
,,0236,After school,
,,0237,Summer Holidays,
,,0238,In-school service day,
,,0239,Evenings,
,,9998,Other School Holidays,
,,9999,Other,
AUCodeSets,0792 Identification Procedure,2147,Education assessment,
,,2148,Health assessment/screening,
,,2149,Parent/guardian referral,
,,2151,Self-report/survey,
,,2152,Special education assessment/evaluation,
,,2153,Teacher referral,
,,9999,Other,
AUCodeSets,ACStrand,A,The arts,
,,B,Business and economics,
,,C,Civics and citizenship,
,,D,Design,
,,E,English,
,,G,Geography,
,,H,History,
,,I,Information and communication technologies,
,,L,Languages,
,,M,Mathematics,
,,P,Health and physical education,
,,S,Science,
AUCodeSets,Activity Involvement Code,1010,"Exercise, n.f.d.",
,,1011,Exercise biking,
,,1012,Fitness centre activities,
,,1013,Gymnasium workouts,
,,1014,Aerobics/exercising (other),
,,1015,Circuits,
,,1020,"Air sports, n.f.d.",
,,1021,Aerobatics,
,,1022,Ballooning,
,,1023,Gliding,
,,1024,Gyroplane flying,
,,1025,Hang gliding,
,,1026,Ultralight flying,
,,1027,Air sport ( other ),
,,1031,Aquarobics,
,,1041,Archery,
,,1051,"Athletics, track & field",
,,1061,Australian rules football,
,,1071,Badminton,
,,1081,Baseball,
,,1091,Basketball (indoor & outdoor),
,,1101,Beach volleyball,
,,1110,"Cue Sports, n.f.d.",
,,1111,Billiards,
,,1112,Pool,
,,1113,Snooker,
,,1121,Bocce,
,,1122,Boules,
,,1123,Petanque,
,,1131,Boxing,
,,1141,Bush walking,
,,1151,Canoeing,
,,1152,Kayaking,
,,1161,Carpet bowls,
,,1171,Cricket (Indoor),
,,1181,Cricket (Outdoor),
,,1191,Croquet,
,,1201,Cross country running,
,,1210,"Bike sports, n.f.d.",
,,1211,Bike riding,
,,1212,Cycling,
,,1213,BMXing,
,,1214,Mountain biking,
,,1220,"Dance Sports, n.f.d.",
,,1221,Boot scooting,
,,1222,Classical Ballet,
,,1223,Jazz Ballet,
,,1224,Ballroom Dancing,
,,1225,Dance team,
,,1229,Dancing (other),
,,1231,Darts,
,,1241,Dog racing,
,,1250,"Dog competitions, n.f.d.",
,,1251,Dog shows,
,,1252,Sheepdog trials,
,,1261,Fencing,
,,1271,Angling,
,,1272,Fishing,
,,1280,"Throwing, n.f.d.",
,,1281,Ultimate frisbee,
,,1282,Boomerang throwing,
,,1291,Gaelic football,
,,1301,Golf,
,,1311,Gridiron (USA football ),
,,1321,Gymnastics,
,,1322,Circus acrobatics,
,,1323,Callisthenics,
,,1324,Trampolining,
,,1331,Handball,
,,1341,Harness racing/Trotting,
,,1351,Hockey (Indoor),
,,1352,Hockey (Outdoor),
,,1362,Horse racing,
,,1371,Horse riding/Equestrian activities,
,,1372,Polo,
,,1373,Polo cross,
,,1374,Show jumping,
,,1380,"Ice/Snow Sports, n.f.d.",
,,1381,Ice hockey,
,,1383,Ice/Snow sport (other),
,,1384,Snow skiing,
,,1385,Snow boarding,
,,1391,Korfball,
,,1392,Ice skating,
,,1401,Lacrosse,
,,1402,Softcrosse,
,,1411,Lawn bowls,
,,1421,Marching,
,,1430,"Martial arts, n.f.d.",
,,1431,Chi Kung,
,,1432,Judo/Jujitsu,
,,1433,Karate,
,,1434,Kickboxing,
,,1435,Taekwondo,
,,1436,Tai Chi,
,,1439,Martial arts (other),
,,1441,Minigolf,
,,1442,Putt-putt golf,
,,1450,"Motor sports, n.f.d.",
,,1451,Go-Karting (motor sports),
,,1452,Track motor sport,
,,1459,Motor sport (other),
,,1461,Netball (Indoor and outdoor),
,,1471,Orienteering,
,,1472,Rogaining,
,,1481,Pilates,
,,1490,"Outdoor rock activities, n.f.d.",
,,1491,Abseiling,
,,1492,Caving,
,,1493,Rock climbing,
,,1501,Rodeos,
,,1510,"Roller sports, n.f.d.",
,,1511,Roller-blading,
,,1512,Skateboarding,
,,1513,Inline hockey,
,,1514,Roller sport (other),
,,1521,Rowing,
,,1531,Royal Tennis,
,,1541,Rugby league (football),
,,1551,Rugby union (football),
,,1561,Jogging,
,,1562,Running,
,,1571,Sailing,
,,1581,Scuba diving,
,,1590,"Shooting sports, n.f.d.",
,,1591,Hunting,
,,1592,Paintball shooting,
,,1593,Pistol shooting,
,,1594,Shooting sport (other),
,,1595,Target shooting,
,,1601,Soccer (Indoor),
,,1612,Soccer (Outdoor),
,,1621,Softball,
,,1622,Tee ball (T ball),
,,1631,Squash,
,,1632,Racquet ball,
,,1641,Surf Lifesaving/Royal Lifesaving,
,,1651,Surfing,
,,1652,Surf sport (other),
,,1660,"Indoor water sports, n.f.d.",
,,1661,Diving (board),
,,1662,Swimming,
,,1663,Synchronized Swimming,
,,1671,Table tennis,
,,1681,Tennis (Indoor and outdoor),
,,1691,Tenpin bowling,
,,1701,Touch football,
,,1711,Trail biking (motor sports),
,,1712,Dirt bike riding (motor sports),
,,1721,Triathlons,
,,1731,Volleyball (Indoor and outdoor),
,,1741,Walking for exercise,
,,1751,Water polo,
,,1760,"Motorised water sports, n.f.d.",
,,1761,Jet skiing,
,,1762,Powerboating,
,,1763,Water-skiing,
,,1770,"Non-motorised outdoor water sports, n.f.d.",
,,1771,Canoe polo,
,,1772,Water volleyball,
,,1773,Underwater hockey,
,,1774,White water rafting,
,,1781,Competition weight-lifting,
,,1791,Bodybuilding,
,,1792,Weight training (for fitness - other),
,,1800,"Board sports, n.f.d.",
,,1801,Wind surfing,
,,1802,Sailboarding,
,,1811,Wood chopping,
,,1821,Wrestling,
,,1831,Yoga,
,,1840,"Other sporting activities, n.f.d.",
,,1841,Pigeon racing,
,,1842,Playing,
,,1843,Multidisciplinary events,
,,1844,Radio controlled model car/boat/plane racing,
,,1845,Cheerleading,
,,1849,Other sporting activities,
,,2010,Leadership Actvities,
,,2011,Team captain,
,,2012,Student representative council president,
,,2013,Class captain,
,,2014,Class officer,
,,2015,Student representative council officer,
,,2016,School captain,
,,2017,Duke of Edinburugh Award,
,,2019,Other student leadership,
,,3010,"Youth Development, n.f.d.",
,,3011,Army Cadets,
,,3012,Airforce Cadets,
,,3013,Other Cadets,
,,3014,Boy Scouts,
,,3015,Girl Scouts,
,,3019,Other youth development group,
,,4011,Music - vocal,
,,4012,Choir,
,,4019,Other vocal ensemble,
,,4021,Music - instrumental,
,,4022,Concert Band,
,,4023,Orchestra,
,,4024,Jazz ensemble,
,,4025,Chamber ensemble,
,,4029,Other instrumental ensemble,
,,4031,Music - theory and composition,
,,4039,Other Music,
,,4041,Theatre/drama,
,,4042,Eisteddfod,
